//=====================================
//	SWORDS
//=====================================
0
//Index	Slot	Skill	Width	Height	Serial	Option	Drop	Name					Level	DmgMin	DmgMax	AtkSped	Durab	MagiDur	MagiDmg	ReqLvl	ReqStr	ReqAgi	ReqEne	ReqVit	Atrib	DW	DK	ELF	MG
15	0	0	1	3	1	1	1	"Giant Sword"					52	60	85	20	60	0	0	0	140	0	0	0	0	0	1	0	1
16	0	0	1	4	1	1	1	"Sword of Destruction"					82	82	90	35	84	0	0	0	160	60	0	0	0	0	1	0	1
17	0	0	1	4	1	1	1	"Dark Breaker"					104	128	153	40	89	0	0	0	180	50	0	0	0	0	2	0	0
18	0	0	1	3	1	1	1	"Thunder Blade"					105	140	168	40	86	0	0	0	180	50	0	0	0	0	0	0	1
19	0	0	1	4	1	1	1	"Divine Sword of Archangel"					86	120	130	45	168	0	0	0	140	50	0	0	0	0	1	0	1
20	0	0	1	4	1	1	1	"Knight Blade"					140	107	115	35	90	0	0	0	116	38	0	0	0	0	2	0	0
21	0	0	1	4	1	1	1	"Dark Reign Blade"					140	115	142	40	100	0	115	0	116	53	9	0	0	0	0	0	1
31	0	0	1	4	1	1	1	"Rune Blade"					100	104	130	35	93	0	104	0	135	62	9	0	0	0	0	0	1
end

//=====================================
//	AXES
//=====================================
1
//Index	Slot	Skill	Width	Height	Serial	Option	Drop	Name					Level	DmgMin	DmgMax	AtkSped	Durab	MagiDur	MagiDmg	ReqLvl	ReqStr	ReqAgi	ReqEne	ReqVit	Atrib	DW	DK	ELF	MG
0	0	0	1	3	1	1	1	"Small Axe"					1	1	6	20	18	0	0	0	50	0	0	0	0	1	1	1	1
1	0	0	1	3	1	1	1	"Hand Axe"					4	4	9	30	20	0	0	0	70	0	0	0	0	1	1	1	1
2	0	0	1	3	1	1	1	"Double Axe"					14	14	24	20	26	0	0	0	90	0	0	0	0	0	1	0	1
3	0	0	1	3	1	1	1	"Tomahawk"					18	18	28	30	28	0	0	0	100	0	0	0	0	0	1	0	1
4	0	0	1	3	1	1	1	"Elven Axe"					26	26	38	40	32	0	0	0	50	70	0	0	0	1	0	1	1
5	0	0	1	3	1	1	1	"Battle Axe"					30	36	44	20	36	0	0	0	120	0	0	0	0	0	1	1	1
6	0	0	1	3	1	1	1	"Nikea Axe"					34	38	50	30	44	0	0	0	130	0	0	0	0	0	1	1	1
7	0	0	1	3	1	1	1	"Larkan Axe"					46	54	67	25	55	0	0	0	140	0	0	0	0	0	1	0	1
8	0	0	1	3	1	1	1	"Crescent Axe"					54	69	89	30	65	0	0	0	100	40	0	0	0	1	1	0	1
end

//=====================================
//	MACES
//=====================================
2
//Index	Slot	Skill	Width	Height	Serial	Option	Drop	Name					Level	DmgMin	DmgMax	AtkSped	Durab	MagiDur	MagiDmg	ReqLvl	ReqStr	ReqAgi	ReqEne	ReqVit	Atrib	DW	DK	ELF	MG
0	0	0	1	3	1	1	1	"Mace"					7	7	13	15	21	0	0	0	100	0	0	0	0	0	1	0	1
1	0	0	1	3	1	1	1	"Morning Star"					13	13	22	15	25	0	0	0	100	0	0	0	0	0	1	0	1
2	0	0	1	3	1	1	1	"Flail"					22	22	32	15	32	0	0	0	80	50	0	0	0	0	1	0	1
3	0	0	1	3	1	1	1	"Great Hammer"					38	45	56	15	50	0	0	0	150	0	0	0	0	0	1	0	1
4	0	0	1	3	1	1	1	"Crystal Morning Star"					66	78	107	30	72	0	0	0	130	0	0	0	0	1	1	1	1
5	0	0	1	4	1	1	1	"Crystal Sword"					72	89	120	40	76	0	0	0	130	70	0	0	0	1	1	1	1
6	0	0	1	4	1	1	1	"Chaos Dragon Axe"					75	102	130	35	80	0	0	0	140	50	0	0	0	0	1	0	1
7	0	0	1	3	1	1	1	"Elemental Mace"					90	62	80	50	50	0	0	0	15	42	0	0	0	0	0	2	0
end

//=====================================
//	SPEARS
//=====================================
3
//Index	Slot	Skill	Width	Height	Serial	Option	Drop	Name					Level	DmgMin	DmgMax	AtkSped	Durab	MagiDur	MagiDmg	ReqLvl	ReqStr	ReqAgi	ReqEne	ReqVit	Atrib	DW	DK	ELF	MG
0	0	0	1	4	1	1	1	"Light Spear"					42	50	63	25	56	0	0	0	60	70	0	0	0	0	1	1	1
1	0	0	1	4	1	1	1	"Spear"					23	30	41	30	42	0	0	0	70	50	0	0	0	0	1	1	1
2	0	0	1	4	1	1	1	"Dragon Lance"					15	21	33	30	34	0	0	0	70	50	0	0	0	0	1	1	1
3	0	0	1	4	1	1	1	"Giant Trident"					29	35	43	25	44	0	0	0	90	30	0	0	0	0	1	1	1
4	0	0	1	4	1	1	1	"Serpent Spear"					46	58	80	20	58	0	0	0	90	30	0	0	0	0	1	1	1
5	0	0	1	4	1	1	1	"Double Poleaxe"					13	19	31	30	38	0	0	0	70	50	0	0	0	0	1	1	1
6	0	0	1	4	1	1	1	"Halberd"					19	25	35	30	40	0	0	0	70	50	0	0	0	0	1	1	1
7	0	0	1	4	1	1	1	"Berdysh"					37	42	54	30	54	0	0	0	80	50	0	0	0	0	1	1	1
8	0	0	1	4	1	1	1	"Great Scythe"					54	71	92	25	68	0	0	0	90	50	0	0	0	0	1	1	1
9	0	0	1	4	1	1	1	"Bill of Balrog"					63	76	102	25	74	0	0	0	80	50	0	0	0	0	1	1	1
10	0	0	1	4	1	1	1	"Dragon Spear"					92	112	140	35	85	0	0	0	170	60	0	0	0	0	2	0	0
end

//=====================================
//	BOWS & CROSSBOWS
//=====================================
4
//Index	Slot	Skill	Width	Height	Serial	Option	Drop	Name					Level	DmgMin	DmgMax	AtkSped	Durab	MagiDur	MagiDmg	ReqLvl	ReqStr	ReqAgi	ReqEne	ReqVit	Atrib	DW	DK	ELF	MG
0	0	0	2	3	1	1	1	"Short Bow"					2	3	5	30	20	0	0	0	20	80	0	0	0	0	0	1	0
1	0	0	2	3	1	1	1	"Bow"					8	9	13	30	24	0	0	0	30	90	0	0	0	0	0	1	0
2	0	0	2	3	1	1	1	"Elven Bow"					16	17	24	30	28	0	0	0	30	90	0	0	0	0	0	1	0
3	0	0	2	3	1	1	1	"Battle Bow"					26	28	37	30	36	0	0	0	30	90	0	0	0	0	0	1	0
4	0	0	2	4	1	1	1	"Tiger Bow"					40	42	52	30	43	0	0	0	30	100	0	0	0	0	0	1	0
5	0	0	2	4	1	1	1	"Silver Bow"					56	59	71	40	48	0	0	0	30	100	0	0	0	0	0	1	0
6	0	0	2	4	1	1	1	"Chaos Nature Bow"					75	88	106	35	68	0	0	0	40	150	0	0	0	0	0	1	0
7	0	0	1	1	1	1	1	"Bolt"					0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	1	0
8	0	0	2	2	1	1	1	"Crossbow"					4	5	8	40	22	0	0	0	20	90	0	0	0	0	0	1	0
9	0	0	2	2	1	1	1	"Golden Crossbow"					12	13	19	40	26	0	0	0	30	90	0	0	0	0	0	1	0
10	0	0	2	2	1	1	1	"Arquebus"					20	22	30	40	31	0	0	0	30	90	0	0	0	0	0	1	0
11	0	0	2	3	1	1	1	"Light Crossbow"					32	35	44	40	40	0	0	0	30	90	0	0	0	0	0	1	0
12	0	0	2	3	1	1	1	"Serpent Crossbow"					48	50	61	40	45	0	0	0	30	100	0	0	0	0	0	1	0
13	0	0	2	3	1	1	1	"Bluewing Crossbow"					68	68	82	40	56	0	0	0	40	110	0	0	0	0	0	1	0
14	0	0	2	3	1	1	1	"Aquagold Crossbow"					72	78	92	30	60	0	0	0	50	130	0	0	0	0	0	1	0
15	0	0	1	1	1	1	1	"Arrow"					0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	1	0
16	0	0	2	4	1	1	1	"Saint Crossbow"					84	102	127	35	72	0	0	0	50	160	0	0	0	0	0	1	0
17	0	0	2	4	1	1	1	"Celestial Bow"					92	127	155	35	76	0	0	0	54	198	0	0	0	0	0	2	0
18	0	0	2	3	1	1	1	"Divine Crossbow of Archangel"					100	144	166	45	200	0	0	0	40	110	0	0	0	0	0	1	0
19	0	0	2	3	1	1	1	"Great Reign Crossbow"					100	150	172	40	80	0	0	0	61	285	0	0	0	0	0	2	0
end

//=====================================
//	STAFFS
//=====================================
5
//Index	Slot	Skill	Width	Height	Serial	Option	Drop	Name					Level	DmgMin	DmgMax	AtkSped	Durab	MagiDur	MagiDmg	ReqLvl	ReqStr	ReqAgi	ReqEne	ReqVit	Atrib	DW	DK	ELF	MG
0	0	0	1	3	1	1	1	"Skull Staff"					6	3	4	20	0	20	6	0	40	0	0	0	0	1	0	0	1
1	0	0	1	3	1	1	1	"Angelic Staff"					18	10	12	25	0	38	20	0	50	0	0	0	0	1	0	0	1
2	0	0	1	3	1	1	1	"Serpent Staff"					30	17	18	25	0	50	34	0	50	0	0	0	0	1	0	0	1
3	0	0	1	4	1	1	1	"Thunder Staff"					42	23	25	25	0	60	46	0	40	10	0	0	0	1	0	0	1
4	0	0	1	4	1	1	1	"Gorgon Staff"					52	29	32	25	0	65	58	0	50	0	0	0	0	1	0	0	1
5	0	0	1	4	1	1	1	"Legendary Staff"					59	29	31	25	0	66	59	0	50	0	0	0	0	1	0	0	1
6	0	0	1	4	1	1	1	"Staff of Resurrection"					70	35	39	25	0	70	70	0	60	10	0	0	0	1	0	0	1
7	0	0	1	4	1	1	1	"Chaos Lighting Staff"					75	47	48	30	0	70	94	0	60	10	0	0	0	1	0	0	1
8	0	0	1	4	1	1	1	"Staff of Destruction"					90	50	54	30	0	85	101	0	60	10	0	0	0	1	0	0	1
9	0	0	1	4	1	1	1	"Dragon Soul Staff"					100	46	48	30	0	91	92	0	52	16	0	0	0	2	0	0	0
10	0	0	1	4	1	1	1	"Divine Staff of Archangel"					104	53	55	30	0	182	156	0	36	4	0	0	0	1	0	0	1
11	0	0	1	4	1	1	1	"Staff of Kundun"					140	55	61	30	0	95	110	0	45	16	0	0	0	2	0	0	1
end

//=====================================
//	SHIELDS
//=====================================
6
//Index	Slot	Skill	Width	Height	Serial	Option	Drop	Name					Level	Defense	DefRate	Durab	ReqLvl	ReqStr	ReqAgi	ReqEne	ReqVit	Atrib	DW	DK	ELF	MG
0	0	0	2	2	1	1	1	"Small Shield"					3	1	0	22	0	70	0	0	0	0	1	1	1	1
1	0	0	2	2	1	1	1	"Horn Shield"					9	3	0	28	0	100	0	0	0	0	0	1	0	1
2	0	0	2	2	1	1	1	"Kite Shield"					12	4	0	32	0	110	0	0	0	0	0	1	0	1
3	0	0	2	2	1	1	1	"Elven Shield"					21	8	0	36	0	30	100	0	0	0	0	0	1	0
4	0	0	2	2	1	1	1	"Buckler"					6	2	0	24	0	80	0	0	0	0	1	1	1	1
5	0	0	2	2	1	1	1	"Dragon Slayer Shield"					35	10	0	44	0	100	40	0	0	0	0	1	0	1
6	0	0	2	2	1	1	1	"Skull Shield"					15	5	0	34	0	110	0	0	0	0	1	1	1	1
7	0	0	2	2	1	1	1	"Spiked Shield"					30	9	0	40	0	130	0	0	0	0	0	1	0	1
8	0	0	2	2	1	1	1	"Tower Shield"					40	11	0	46	0	130	0	0	0	0	0	1	1	1
9	0	0	2	2	1	1	1	"Plate Shield"					25	8	0	38	0	120	0	0	0	0	0	1	0	1
10	0	0	2	2	1	1	1	"Large Round Shield"					18	6	0	35	0	120	0	0	0	0	0	1	0	1
11	0	0	2	2	1	1	1	"Serpent Shield"					45	12	0	48	0	130	0	0	0	0	0	1	1	1
12	0	0	2	2	1	1	1	"Bronze Shield"					54	13	0	52	0	140	0	0	0	0	0	1	0	1
13	0	0	2	2	1	1	1	"Dragon Shield"					60	14	0	60	0	120	40	0	0	0	0	1	0	1
14	0	0	2	3	1	1	1	"Legendary Shield"					48	7	0	50	0	90	25	0	0	0	1	0	1	1
15	0	0	2	3	1	1	1	"Grand Soul Shield"					74	12	0	55	0	70	23	0	0	0	2	0	0	0
16	0	0	2	2	1	1	1	"Elemental Shield"					66	11	0	51	0	30	60	30	0	0	0	0	2	0
end

//=====================================
//	HELMS
//=====================================
7
//Index	Slot	Skill	Width	Height	Serial	Option	Drop	Name					Level	Defense	MagiDef	Durab	ReqLvl	ReqStr	ReqAgi	ReqEne	ReqVit	Atrib	DW	DK	ELF	MG
0	0	0	2	2	1	1	1	"Bronze Helm"					16	9	0	34	0	80	20	0	0	0	0	1	0	0
1	0	0	2	2	1	1	1	"Dragon Helm"					57	24	0	68	0	120	30	0	0	0	0	1	0	0
2	0	0	2	2	1	1	1	"Pad Helm"					5	4	0	28	0	20	0	0	0	0	1	0	0	0
3	0	0	2	2	1	1	1	"Legendary Helm"					50	18	0	42	0	30	0	0	0	0	1	0	0	0
4	0	0	2	2	1	1	1	"Bone Helm"					18	9	0	30	0	30	0	0	0	0	1	0	0	0
5	0	0	2	2	1	1	1	"Leather Helm"					6	5	0	30	0	80	0	0	0	0	0	1	0	0
6	0	0	2	2	1	1	1	"Scale Helm"					26	12	0	40	0	110	0	0	0	0	0	1	0	0
7	0	0	2	2	1	1	1	"Sphinx Mask"					32	13	0	36	0	30	0	0	0	0	1	0	0	0
8	0	0	2	2	1	1	1	"Brass Helm"					36	17	0	44	0	100	30	0	0	0	0	1	0	0
9	0	0	2	2	1	1	1	"Plate Helm"					46	20	0	50	0	130	0	0	0	0	0	1	0	0
10	0	0	2	2	1	1	1	"Vine Helm"					6	4	0	22	0	30	60	0	0	0	0	0	1	0
11	0	0	2	2	1	1	1	"Silk Helm"					16	8	0	26	0	30	70	0	0	0	0	0	1	0
12	0	0	2	2	1	1	1	"Wind Helm"					28	12	0	32	0	30	80	0	0	0	0	0	1	0
13	0	0	2	2	1	1	1	"Spirit Helm"					40	16	0	38	0	40	80	0	0	0	0	0	1	0
14	0	0	2	2	1	1	1	"Guardian Helm"					53	23	0	45	0	40	80	0	0	0	0	0	1	0
16	0	0	2	2	1	1	1	"Black Dragon Helm"					82	30	0	74	0	170	60	0	0	0	0	1	0	0
17	0	0	2	2	1	1	1	"Dark Phoenix Helm"					92	43	0	80	0	205	62	0	0	0	0	2	0	0
18	0	0	2	2	1	1	1	"Grand Soul Helm"					81	27	0	67	0	59	20	0	0	0	2	0	0	0
19	0	0	2	2	1	1	1	"Holy Spirit Helm"					85	37	0	74	0	50	110	0	0	0	0	0	2	0
21	0	0	2	2	1	1	1	"Great Dragon Helm"					104	53	0	86	0	200	58	0	0	0	0	2	0	0
22	0	0	2	2	1	1	1	"Dark Soul Helm"					110	36	0	75	0	55	18	0	0	0	2	0	0	0
24	0	0	2	2	1	1	1	"Red Spirit Helm"					93	46	0	80	0	52	115	0	0	0	0	0	2	0
end

//=====================================
//	ARMORS
//=====================================
8
//Index	Slot	Skill	Width	Height	Serial	Option	Drop	Name					Level	Defense	MagiDef	Durab	ReqLvl	ReqStr	ReqAgi	ReqEne	ReqVit	Atrib	DW	DK	ELF	MG
0	0	0	2	2	1	1	1	"Bronze Armor"					18	14	0	34	0	80	20	0	0	0	0	1	0	1
1	0	0	2	3	1	1	1	"Dragon Armor"					59	37	0	68	0	120	30	0	0	0	0	1	0	1
2	0	0	2	2	1	1	1	"Pad Armor"					10	7	0	28	0	30	0	0	0	0	1	0	0	1
3	0	0	2	2	1	1	1	"Legendary Armor"					56	22	0	42	0	40	0	0	0	0	1	0	0	1
4	0	0	2	2	1	1	1	"Bone Armor"					22	13	0	30	0	40	0	0	0	0	1	0	0	1
5	0	0	2	3	1	1	1	"Leather Armor"					10	10	0	30	0	80	0	0	0	0	0	1	0	1
6	0	0	2	2	1	1	1	"Scale Armor"					28	18	0	40	0	110	0	0	0	0	0	1	0	1
7	0	0	2	3	1	1	1	"Sphinx Armor"					38	17	0	36	0	40	0	0	0	0	1	0	0	1
8	0	0	2	2	1	1	1	"Brass Armor"					38	22	0	44	0	100	30	0	0	0	0	1	0	1
9	0	0	2	2	1	1	1	"Plate Armor"					48	30	0	50	0	130	0	0	0	0	0	1	0	1
10	0	0	2	2	1	1	1	"Vine Armor"					10	8	0	22	0	30	60	0	0	0	0	0	1	0
11	0	0	2	2	1	1	1	"Silk Armor"					20	12	0	26	0	30	70	0	0	0	0	0	1	0
12	0	0	2	2	1	1	1	"Wind Armor"					32	16	0	32	0	30	80	0	0	0	0	0	1	0
13	0	0	2	2	1	1	1	"Spirit Armor"					44	21	0	38	0	40	80	0	0	0	0	0	1	0
14	0	0	2	2	1	1	1	"Guardian Armor"					57	29	0	45	0	40	80	0	0	0	0	0	1	0
15	0	0	2	3	1	1	1	"Storm Crow Armor"					80	44	0	80	0	150	70	0	0	0	0	0	0	1
16	0	0	2	3	1	1	1	"Black Dragon Armor"					90	48	0	74	0	170	60	0	0	0	0	1	0	0
17	0	0	2	3	1	1	1	"Dark Phoenix Armor"					100	63	0	80	0	214	65	0	0	0	0	2	0	0
18	0	0	2	3	1	1	1	"Grand Soul Armor"					91	33	0	67	0	59	20	0	0	0	2	0	0	0
19	0	0	2	2	1	1	1	"Holy Spirit Armor"					92	44	0	74	0	50	110	0	0	0	0	0	2	0
20	0	0	2	3	1	1	1	"Thunder Hawk Armor"					107	60	0	82	0	170	70	0	0	0	0	0	0	1
21	0	0	2	3	1	1	1	"Great Dragon Armor"					126	75	0	86	0	200	58	0	0	0	0	2	0	0
22	0	0	2	3	1	1	1	"Dark Soul Armor"					122	43	0	75	0	55	18	0	0	0	2	0	0	0
23	0	0	2	3	1	1	1	"Hurricane Armor"					128	73	0	90	0	162	66	0	0	0	0	0	0	1
24	0	0	2	2	1	1	1	"Red Sprit Armor"					109	55	0	80	0	52	115	0	0	0	0	0	2	0
end

//=====================================
//	PANTS
//=====================================
9
//Index	Slot	Skill	Width	Height	Serial	Option	Drop	Name					Level	Defense	MagiDef	Durab	ReqLvl	ReqStr	ReqAgi	ReqEne	ReqVit	Atrib	DW	DK	ELF	MG
0	0	0	2	2	1	1	1	"Bronze Pants"					15	10	0	34	0	80	20	0	0	0	0	1	0	1
1	0	0	2	2	1	1	1	"Dragon Pants"					55	26	0	68	0	120	30	0	0	0	0	1	0	1
2	0	0	2	2	1	1	1	"Pad Pants"					8	5	0	28	0	30	0	0	0	0	1	0	0	1
3	0	0	2	2	1	1	1	"Legendary Pants"					53	20	0	42	0	40	0	0	0	0	1	0	0	1
4	0	0	2	2	1	1	1	"Bone Pants"					20	10	0	30	0	40	0	0	0	0	1	0	0	1
5	0	0	2	2	1	1	1	"Leather Pants"					8	7	0	30	0	80	0	0	0	0	0	1	0	1
6	0	0	2	2	1	1	1	"Scale Pants"					25	14	0	40	0	110	0	0	0	0	0	1	0	1
7	0	0	2	2	1	1	1	"Sphinx Pants"					34	15	0	36	0	40	0	0	0	0	1	0	0	1
8	0	0	2	2	1	1	1	"Brass Pants"					35	18	0	44	0	100	30	0	0	0	0	1	0	1
9	0	0	2	2	1	1	1	"Plate Pants"					45	22	0	50	0	130	0	0	0	0	0	1	0	1
10	0	0	2	2	1	1	1	"Vine Pants"					8	6	0	22	0	30	60	0	0	0	0	0	1	0
11	0	0	2	2	1	1	1	"Silk Pants"					18	10	0	26	0	30	70	0	0	0	0	0	1	0
12	0	0	2	2	1	1	1	"Wind Pants"					30	14	0	32	0	30	80	0	0	0	0	0	1	0
13	0	0	2	2	1	1	1	"Spirit Pants"					42	18	0	38	0	40	80	0	0	0	0	0	1	0
14	0	0	2	2	1	1	1	"Guardian Pants"					54	25	0	45	0	40	80	0	0	0	0	0	1	0
15	0	0	2	2	1	1	1	"Storm Crow Pants"					74	34	0	80	0	150	70	0	0	0	0	0	0	1
16	0	0	2	2	1	1	1	"Black Dragon Pants"					84	40	0	74	0	170	60	0	0	0	0	1	0	0
17	0	0	2	2	1	1	1	"Dark Phoenix Pants"					96	54	0	80	0	207	63	0	0	0	0	2	0	0
18	0	0	2	2	1	1	1	"Grand Soul Pants"					86	30	0	67	0	59	20	0	0	0	2	0	0	0
19	0	0	2	2	1	1	1	"Holy Spirit Pants"					88	39	0	74	0	50	110	0	0	0	0	0	2	0
20	0	0	2	2	1	1	1	"Thunder Hawk Pants"					99	49	0	82	0	150	70	0	0	0	0	0	0	1
21	0	0	2	2	1	1	1	"Great Dragon Pants"					113	65	0	86	0	200	58	0	0	0	0	2	0	0
22	0	0	2	2	1	1	1	"Dark Soul Pants"					117	39	0	75	0	55	18	0	0	0	2	0	0	0
23	0	0	2	2	1	1	1	"Hurricane Pants"					122	61	0	90	0	162	66	0	0	0	0	0	0	1
24	0	0	2	2	1	1	1	"Red Spirit Pants"					100	48	0	80	0	52	115	0	0	0	0	0	2	0
end

//=====================================
//	GLOVES
//=====================================
10
//Index	Slot	Skill	Width	Height	Serial	Option	Drop	Name					Level	Defense	AtkSped	Durab	ReqLvl	ReqStr	ReqAgi	ReqEne	ReqVit	Atrib	DW	DK	ELF	MG
0	0	0	2	2	1	1	1	"Bronze Gloves"					13	4	0	34	0	80	20	0	0	0	0	1	0	1
1	0	0	2	2	1	1	1	"Dragon Gloves"					52	14	0	68	0	120	30	0	0	0	0	1	0	1
2	0	0	2	2	1	1	1	"Pad Gloves"					3	2	0	28	0	20	0	0	0	0	1	0	0	1
3	0	0	2	2	1	1	1	"Legendary Gloves"					44	11	0	42	0	20	0	0	0	0	1	0	0	1
4	0	0	2	2	1	1	1	"Bone Gloves"					14	5	0	30	0	20	0	0	0	0	1	0	0	1
5	0	0	2	2	1	1	1	"Leather Gloves"					4	2	0	30	0	80	0	0	0	0	0	1	0	1
6	0	0	2	2	1	1	1	"Scale Gloves"					22	7	0	40	0	110	0	0	0	0	0	1	0	1
7	0	0	2	2	1	1	1	"Sphinx Gloves"					28	8	0	36	0	20	0	0	0	0	1	0	0	1
8	0	0	2	2	1	1	1	"Brass Gloves"					32	9	0	44	0	100	30	0	0	0	0	1	0	1
9	0	0	2	2	1	1	1	"Plate Gloves"					42	12	0	50	0	130	0	0	0	0	0	1	0	1
10	0	0	2	2	1	1	1	"Vine Gloves"					4	2	0	22	0	30	60	0	0	0	0	0	1	0
11	0	0	2	2	1	1	1	"Silk Gloves"					14	4	0	26	0	30	70	0	0	0	0	0	1	0
12	0	0	2	2	1	1	1	"Wind Gloves"					26	6	0	32	0	30	80	0	0	0	0	0	1	0
13	0	0	2	2	1	1	1	"Spirit Gloves"					38	9	0	38	0	40	80	0	0	0	0	0	1	0
14	0	0	2	2	1	1	1	"Guardian Gloves"					50	15	0	45	0	40	80	0	0	0	0	0	1	0
15	0	0	2	2	1	1	1	"Storm Crow Gloves"					70	20	0	80	0	150	70	0	0	0	0	0	0	1
16	0	0	2	2	1	1	1	"Black Dragon Gloves"					76	22	0	74	0	170	60	0	0	0	0	1	0	0
17	0	0	2	2	1	1	1	"Dark Phoenix Gloves"					86	37	0	80	0	205	63	0	0	0	0	2	0	0
18	0	0	2	2	1	1	1	"Grand Soul Gloves"					70	20	0	67	0	49	10	0	0	0	2	0	0	0
19	0	0	2	2	1	1	1	"Holy Spirit Gloves"					72	29	0	74	0	50	110	0	0	0	0	0	2	0
20	0	0	2	2	1	1	1	"Thunder Hawk Gloves"					88	34	0	82	0	150	70	0	0	0	0	0	0	1
21	0	0	2	2	1	1	1	"Great Dragon Gloves"					94	48	0	86	0	200	58	0	0	0	0	2	0	0
22	0	0	2	2	1	1	1	"Dark Soul Gloves"					87	30	0	75	0	55	18	0	0	0	2	0	0	0
23	0	0	2	2	1	1	1	"Hurricane Gloves"					102	45	0	90	0	162	66	0	0	0	0	0	0	1
24	0	0	2	2	1	1	1	"Red Spirit Gloves"					84	38	0	80	0	52	115	0	0	0	0	0	2	0
end

//=====================================
//	BOOTS
//=====================================
11
//Index	Slot	Skill	Width	Height	Serial	Option	Drop	Name					Level	Defense	WalkSpd	Durab	ReqLvl	ReqStr	ReqAgi	ReqEne	ReqVit	Atrib	DW	DK	ELF	MG
0	0	0	2	2	1	1	1	"Bronze Boots"					12	4	0	34	0	80	20	0	0	0	0	1	0	1
1	0	0	2	2	1	1	1	"Dragon Boots"					54	15	0	68	0	120	30	0	0	0	0	1	0	1
2	0	0	2	2	1	1	1	"Pad Boots"					4	3	0	28	0	20	0	0	0	0	1	0	0	1
3	0	0	2	2	1	1	1	"Legendary Boots"					46	12	0	42	0	30	0	0	0	0	1	0	0	1
4	0	0	2	2	1	1	1	"Bone Boots"					16	6	0	30	0	30	0	0	0	0	1	0	0	1
5	0	0	2	2	1	1	1	"Leather Boots"					5	2	0	30	0	80	0	0	0	0	0	1	0	1
6	0	0	2	2	1	1	1	"Scale Boots"					22	8	0	40	0	110	0	0	0	0	0	1	0	1
7	0	0	2	2	1	1	1	"Sphinx Boots"					30	9	0	36	0	30	0	0	0	0	1	0	0	1
8	0	0	2	2	1	1	1	"Brass Boots"					32	10	0	44	0	100	30	0	0	0	0	1	0	1
9	0	0	2	2	1	1	1	"Plate Boots"					42	12	0	50	0	130	0	0	0	0	0	1	0	1
10	0	0	2	2	1	1	1	"Vine Boots"					5	2	0	22	0	30	60	0	0	0	0	0	1	0
11	0	0	2	2	1	1	1	"Silk Boots"					15	4	0	26	0	30	70	0	0	0	0	0	1	0
12	0	0	2	2	1	1	1	"Wind Boots"					27	7	0	32	0	30	80	0	0	0	0	0	1	0
13	0	0	2	2	1	1	1	"Spirit Boots"					40	10	0	38	0	40	80	0	0	0	0	0	1	0
14	0	0	2	2	1	1	1	"Guardian Boots"					52	16	0	45	0	40	80	0	0	0	0	0	1	0
15	0	0	2	2	1	1	1	"Storm Crow Boots"					72	22	0	80	0	150	70	0	0	0	0	0	0	1
16	0	0	2	2	1	1	1	"Black Dragon Boots"					78	24	0	74	0	170	60	0	0	0	0	1	0	0
17	0	0	2	2	1	1	1	"Dark Phoenix Boots"					93	40	0	80	0	198	60	0	0	0	0	2	0	0
18	0	0	2	2	1	1	1	"Grand Soul Boots"					76	22	0	67	0	59	10	0	0	0	2	0	0	0
